date,close,volume
01/07/2014,close,0
01/08/2014,close,0
01/09/2014,close,0
01/10/2014,close,0
01/13/2014,close,0
01/14/2014,close,0
01/15/2014,close,0
01/16/2014,close,0
01/17/2014,close,0
01/20/2014,close,0
01/21/2014,close,0
01/22/2014,close,0
01/23/2014,close,0
01/24/2014,close,0
01/27/2014,12.35,5
01/28/2014,12.35,0
01/29/2014,12.35,0
01/30/2014,12.35,0
01/31/2014,11.85,5
02/03/2014,11.85,0
02/04/2014,11.85,0
02/05/2014,11.85,0
02/06/2014,11.85,0
02/07/2014,11.85,0
02/10/2014,12.10,13
02/11/2014,12.10,0
02/12/2014,12.10,0
02/13/2014,12.10,0
02/14/2014,12.10,0
02/17/2014,12.10,0
