,date,V13 Dec13 - price,V14 Dec14 - price,V14 Dec14 - volume,V15 Dec15 - price,V15 Dec15 - volume,V16 Dec16 - price,V16 Dec16 - volume,V17 Dec17 - price,V17 Dec17 - volume, , 
123,2/20/12,14.17,,,,,,,,,,
124,2/21/12,14.26,,,,,,,,,,
125,2/22/12,14.33,,,,,,,,,,
126,2/23/12,14.36,,,,,,,,,,
127,2/24/12,14.39,,,,,,,,,,
128,2/27/12,14.37,,,,,,,,,,
129,2/28/12,14.3,,,,,,,,,,
130,2/29/12,14.2,,,,,,,,,,
131,3/1/12,14.04,,,,,,,,,,
132,3/2/12,13.9,,,,,,,,,,
133,3/5/12,13.81,,,,,,,,,,
134,3/6/12,13.72,,,,,,,,,,
135,3/7/12,13.74,,,,,,,,,,
136,3/8/12,13.87,,,,,,,,,,
137,3/9/12,13.98,,,,,,,,,,
138,3/12/12,14.09,,,,,,,,,,
139,3/13/12,14.25,,,,,,,,,,
140,3/14/12,14.35,,,,,,,,,,
141,3/15/12,14.4,,,,,,,,,,
142,3/16/12,14.51,,,,,,,,,,
143,3/19/12,14.62,,,,,,,,,,
144,3/20/12,14.68,,,,,,,,,,
145,3/21/12,14.74,,,,,,,,,,
146,3/22/12,14.8,,,,,,,,,,
147,3/23/12,14.8,,,,,,,,,,
148,3/26/12,14.84,,,,,,,,,,
149,3/27/12,14.86,,,,,,,,,,
150,3/28/12,14.8,,,,,,,,,,
151,3/29/12,14.74,,,,,,,,,,
152,3/30/12,14.57,,,,,,,,,,
153,4/2/12,14.36,,,,,,,,,,
154,4/3/12,14.17,,,,,,,,,,
155,4/4/12,14.06,,,,,,,,,,
156,4/5/12,13.94,,,,,,,,,,
157,4/9/12,13.93,,,,,,,,,,
158,4/10/12,13.92,,,,,,,,,,
159,4/11/12,13.91,,,,,,,,,,
160,4/12/12,13.87,,,,,,,,,,
161,4/13/12,13.85,,,,,,,,,,
162,4/16/12,13.87,,,,,,,,,,
163,4/17/12,14.05,,,,,,,,,,
164,4/18/12,14.23,,,,,,,,,,
165,4/19/12,14.53,,,,,,,,,,
166,4/20/12,15.01,,,,,,,,,,
167,4/23/12,15.3,,,,,,,,,,
168,4/24/12,15.51,,,,,,,,,,
169,4/25/12,15.74,,,,,,,,,,
170,4/26/12,15.88,,,,,,,,,,
171,4/27/12,15.83,,,,,,,,,,
172,4/30/12,15.93,,,,,,,,,,
173,5/1/12,15.95,,,,,,,,,,
