date,close
7/26/2012,19.85
7/27/2012,19.5
7/30/2012,19.5
7/31/2012,18.5
8/1/2012,19
8/2/2012,18.9
8/3/2012,18.7
8/6/2012,18.5
8/7/2012,18.05
8/8/2012,18.05
8/9/2012,17.9
8/10/2012,17.9
8/13/2012,17.75
8/14/2012,17.55
8/15/2012,17.3
8/16/2012,17.45
8/17/2012,16.5
8/20/2012,16.8
8/21/2012,17.25
8/22/2012,17.25
8/23/2012,16.8
8/24/2012,16.6
8/27/2012,16.4
8/28/2012,16.65
8/29/2012,16.65
8/30/2012,16.3
8/31/2012,16.35
9/4/2012,16.5
9/5/2012,16.55
9/6/2012,16.4
9/7/2012,16.6
9/10/2012,16.25
9/11/2012,15.85
9/12/2012,16.05
9/13/2012,15.8
9/14/2012,15.85
9/17/2012,15.95
9/18/2012,15.95
9/19/2012,15.9
9/20/2012,15.85
9/21/2012,15.75
9/24/2012,15.75
9/25/2012,15.35
9/26/2012,15.45
9/27/2012,15.2
9/28/2012,15
10/1/2012,15.3
10/2/2012,15.25
10/3/2012,15.15
10/4/2012,14.9
10/5/2012,14.7
10/8/2012,14.7
10/9/2012,14.75
10/10/2012,14.6
10/11/2012,14.4
10/12/2012,14.4
10/15/2012,14.25
10/16/2012,14.2
10/17/2012,14.2
10/18/2012,13.8
10/19/2012,13.8
10/22/2012,12.75
10/23/2012,12.75
10/24/2012,12.75
10/25/2012,12.75
10/26/2012,12.75
10/29/2012,12.35
10/30/2012,12.35
10/31/2012,12.35
11/1/2012,12.9
11/2/2012,12.7
11/5/2012,12.25
11/6/2012,12.25
11/7/2012,12.65
11/8/2012,12.25
11/9/2012,12.2
11/12/2012,12.35
11/13/2012,12.4
11/14/2012,12.15
11/15/2012,12.25
11/16/2012,12.2
11/19/2012,11.65
11/20/2012,11.7
11/21/2012,11.7
11/23/2012,11.7
11/26/2012,11.65
11/27/2012,11.6
11/28/2012,11.6
11/29/2012,11.55
11/30/2012,12.15
12/3/2012,13.2
12/4/2012,13
12/5/2012,13
12/6/2012,13
12/7/2012,13
12/10/2012,13
12/11/2012,13.4
12/12/2012,13.45
12/13/2012,13.75
12/14/2012,13.75
12/17/2012,13.75
12/18/2012,13.75
12/19/2012,13.75
12/20/2012,14.8
12/21/2012,14.8
12/24/2012,14.8
12/26/2012,15.1
12/27/2012,15.1
12/28/2012,15.1
12/31/2012,15.1
1/2/2013,16.1
1/3/2013,15.65
1/4/2013,15.9
1/7/2013,16.35
1/8/2013,16.2
1/9/2013,16.2
1/10/2013,16.2
1/11/2013,16.2
1/14/2013,16.2
1/15/2013,16.2
1/16/2013,16.2
1/17/2013,16.2
1/18/2013,16.2
1/22/2013,16.2
1/23/2013,16.2
1/24/2013,16.2
1/25/2013,16.2
1/28/2013,16.2
1/29/2013,16.2
1/30/2013,16.2
1/31/2013,16.2
2/1/2013,16.2
2/4/2013,16.2
2/5/2013,16.2
2/6/2013,16.2
2/7/2013,16.2
2/8/2013,16.2
2/11/2013,16.2
2/12/2013,16.2
2/13/2013,16.2
2/14/2013,16.2
2/15/2013,14.05
2/19/2013,14.05
2/20/2013,13.5
2/21/2013,13.65
2/22/2013,14.15
2/25/2013,14.85
2/26/2013,15.1
2/27/2013,14.8
2/28/2013,14.65
3/1/2013,15
3/4/2013,15
3/5/2013,14.85
3/6/2013,14.6
3/7/2013,14.6
3/8/2013,14.45
3/11/2013,14.45
3/12/2013,14.55
3/13/2013,14.25
3/14/2013,14.25
3/15/2013,14.35
3/18/2013,14.3
3/19/2013,14.3
3/20/2013,14.4
3/21/2013,14.45
3/22/2013,14.2
3/25/2013,14.2
3/26/2013,14.2
3/27/2013,14.2
3/28/2013,14.2
4/1/2013,14.15
4/2/2013,14.15
4/3/2013,14.15
4/4/2013,14.25
4/5/2013,14.2
4/8/2013,14.2
4/9/2013,14.35
4/10/2013,14.4
4/11/2013,14.4
4/12/2013,14.55
4/15/2013,14.85
4/16/2013,14.8
4/17/2013,14.6
4/18/2013,14.5
4/19/2013,14.5
4/22/2013,14.75
4/23/2013,14.8
4/24/2013,14.8
4/25/2013,14.85
4/26/2013,14.65
4/29/2013,14.65
4/30/2013,14.6
5/1/2013,14.6
5/2/2013,14.4
5/3/2013,14.4
5/6/2013,14.6
5/7/2013,14.6
5/8/2013,14.65
5/9/2013,14.65
5/10/2013,14.65
5/13/2013,14.5
5/14/2013,14.6
5/15/2013,14.6
5/16/2013,14.6
5/17/2013,14.6
5/20/2013,15
5/21/2013,14.5
5/22/2013,14.5
5/23/2013,14.5
5/24/2013,14.55
5/28/2013,14.55
5/29/2013,14.65
5/30/2013,14.6
5/31/2013,14.6
6/3/2013,14.6
6/4/2013,14.6
6/5/2013,14.6
6/6/2013,14.5
6/7/2013,14.7
6/10/2013,14.7
6/11/2013,14.6
6/12/2013,14.55
6/13/2013,14.6
6/14/2013,14.6
6/17/2013,14.65
6/18/2013,14.65
6/19/2013,14.65
6/20/2013,14.65
6/21/2013,14.65
6/24/2013,14.65
6/25/2013,14.65
6/26/2013,14.6
6/27/2013,14.55
6/28/2013,15.5
7/1/2013,15.5
7/2/2013,14.6
7/3/2013,14.5
7/5/2013,14.5
7/8/2013,14.5
7/9/2013,14.45
7/10/2013,14.35
7/11/2013,14.35
7/12/2013,14.3
7/15/2013,14.2
7/16/2013,14.3
7/17/2013,14.3
7/18/2013,14.3
7/19/2013,14.2
7/22/2013,14.2
7/23/2013,14
7/24/2013,13.65
7/25/2013,13.52
7/26/2013,13.82
7/29/2013,13.9
7/30/2013,13.68
